2026-03-16 15:13:29 | INFO     | app.ml.recommender:91 | Gaps: protein=126.1g  fiber=28.4g  calories=2768.7kcal
2026-03-16 15:13:29 | INFO     | app.ml.recommender:96 | Recent foods: ['Salmon', 'Almonds', 'Spinach', 'Chicken Breast', 'Greek Yogurt', 'Sweet Potato']
2026-03-16 15:13:29 | INFO     | app.ml.recommender:100 | Rule candidates: ['Lentils', 'Banana', 'Oats', 'Eggs', 'Broccoli']
2026-03-16 15:13:29 | INFO     | app.ml.recommender:104 | Cluster peer food IDs: set()
2026-03-16 15:13:29 | INFO     | app.ml.recommender:146 | Top 5 recommendations generated
2026-03-16 15:13:29 | INFO     | app.ml.llm:58 | Sending prompt to claude-sonnet-4-20250514...
2026-03-16 15:13:30 | ERROR    | app.ml.llm:74 | LLM call failed: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZ6YQpv8EZaqnA41nDHvM'}
2026-03-16 15:17:42 | INFO     | main:17 | Shutting down RecommenDISH
2026-03-16 15:17:49 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 15:17:49 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 15:17:49 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 15:18:02 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 15:18:02 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 15:18:02 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 15:22:56 | INFO     | main:17 | Shutting down RecommenDISH
2026-03-16 15:23:00 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 15:23:00 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 15:23:00 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 15:23:08 | INFO     | main:17 | Shutting down RecommenDISH
2026-03-16 15:23:13 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 15:23:13 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 15:23:13 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 15:24:58 | INFO     | app.ml.clustering:74 | User 6 → cluster 4
2026-03-16 15:24:58 | INFO     | app.api.users:32 | Created user: Harry (id=6)
2026-03-16 15:25:40 | INFO     | app.api.meals:27 | User 6 logged Greek Yogurt (40.0g)
2026-03-16 15:26:02 | INFO     | app.api.recommendations:20 | Recommendation request for user 6
2026-03-16 15:26:02 | INFO     | app.ml.recommender:87 | Generating recommendations for user 6 (Harry)
2026-03-16 15:26:02 | INFO     | app.ml.recommender:91 | Gaps: protein=101.2g  fiber=30.0g  calories=2350.9kcal
2026-03-16 15:26:02 | INFO     | app.ml.recommender:96 | Recent foods: ['Greek Yogurt']
2026-03-16 15:26:02 | INFO     | app.ml.recommender:100 | Rule candidates: ['Spinach', 'Almonds', 'Lentils', 'Banana', 'Salmon']
2026-03-16 15:26:02 | INFO     | app.ml.recommender:104 | Cluster peer food IDs: {1, 6, 7, 8, 11, 12}
2026-03-16 15:26:02 | INFO     | app.ml.recommender:146 | Top 5 recommendations generated
2026-03-16 15:26:02 | INFO     | app.ml.llm:58 | Sending prompt to claude-sonnet-4-20250514...
2026-03-16 15:26:03 | ERROR    | app.ml.llm:74 | LLM call failed: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZ6ZNK6ZDm9YHDTTFmH7F'}
2026-03-16 15:27:59 | INFO     | main:17 | Shutting down RecommenDISH
2026-03-16 15:50:34 | INFO     | app.ml.clustering:30 | Building feature matrix for 6 users...
2026-03-16 15:50:34 | INFO     | app.ml.clustering:54 | K-Means trained — 5 clusters. Models saved.
2026-03-16 15:50:34 | INFO     | app.ml.association_rules:32 | Built 11 transactions from meal logs
2026-03-16 15:50:34 | INFO     | app.ml.association_rules:72 | Mined 229 association rules. Saved.
2026-03-16 15:51:05 | INFO     | app.ml.clustering:30 | Building feature matrix for 6 users...
2026-03-16 15:51:05 | INFO     | app.ml.clustering:54 | K-Means trained — 5 clusters. Models saved.
2026-03-16 15:51:05 | INFO     | app.ml.association_rules:32 | Built 16 transactions from meal logs
2026-03-16 15:51:05 | INFO     | app.ml.association_rules:72 | Mined 15848 association rules. Saved.
2026-03-16 15:51:36 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 15:51:36 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 15:51:36 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 15:52:07 | INFO     | app.api.recommendations:20 | Recommendation request for user 4
2026-03-16 15:52:07 | INFO     | app.ml.recommender:87 | Generating recommendations for user 4 (Dan)
2026-03-16 15:52:07 | INFO     | app.ml.recommender:91 | Gaps: protein=165.4g  fiber=26.1g  calories=1467.2kcal
2026-03-16 15:52:07 | INFO     | app.ml.recommender:96 | Recent foods: ['Chicken Breast', 'Bhindi Masala', 'Eggs', 'Masoor Dal', 'Sweet Potato', 'Oats', 'Upma', 'Broccoli', 'Roti', 'Saag', 'Buttermilk', 'Salmon', 'Egg Curry']
